user_id,stars,date,aspect,sentiment,cluster,nrc_positive,nrc_joy,nrc_trust,nrc_anticipation,nrc_surprise,nrc_anger,nrc_disgust,nrc_fear,nrc_negative,nrc_sadness
user_1,1,2018-03-12,food,1,0,3.14,1.03,1.43,0.46,2.66,1.45,0.1,0.82,2.18,2.35
user_1,1,2018-03-12,service,1,0,3.14,1.03,1.43,0.46,2.66,1.45,0.1,0.82,2.18,2.35
user_1,1,2018-03-12,ambience,1,0,3.14,1.03,1.43,0.46,2.66,1.45,0.1,0.82,2.18,2.35
user_1,1,2018-03-12,price,0,0,3.14,1.03,1.43,0.46,2.66,1.45,0.1,0.82,2.18,2.35
user_1,1,2018-03-12,location,1,0,3.14,1.03,1.43,0.46,2.66,1.45,0.1,0.82,2.18,2.35
user_2,1,2017-03-23,food,1,0,4.12,1.53,2.67,0.66,2.26,1.63,0.88,0.43,2.24,2.37
user_2,1,2017-03-23,service,1,0,4.12,1.53,2.67,0.66,2.26,1.63,0.88,0.43,2.24,2.37
user_2,1,2017-03-23,ambience,1,0,4.12,1.53,2.67,0.66,2.26,1.63,0.88,0.43,2.24,2.37
user_2,1,2017-03-23,price,1,0,4.12,1.53,2.67,0.66,2.26,1.63,0.88,0.43,2.24,2.37
user_2,1,2017-03-23,location,-1,0,4.12,1.53,2.67,0.66,2.26,1.63,0.88,0.43,2.24,2.37
user_3,5,2017-02-19,food,1,0,3.47,1.68,2.43,1.39,2.39,1.01,0.42,1.1,2.17,2.94
user_3,5,2017-02-19,service,1,0,3.47,1.68,2.43,1.39,2.39,1.01,0.42,1.1,2.17,2.94
user_3,5,2017-02-19,ambience,1,0,3.47,1.68,2.43,1.39,2.39,1.01,0.42,1.1,2.17,2.94
user_3,5,2017-02-19,price,-1,0,3.47,1.68,2.43,1.39,2.39,1.01,0.42,1.1,2.17,2.94
user_3,5,2017-02-19,location,1,0,3.47,1.68,2.43,1.39,2.39,1.01,0.42,1.1,2.17,2.94
user_4,5,2016-10-24,food,1,4,2.16,2.92,2.43,1.74,2.74,1.19,0.8,0.8,1.4,2.62
user_4,5,2016-10-24,service,1,4,2.16,2.92,2.43,1.74,2.74,1.19,0.8,0.8,1.4,2.62
